Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-02 00:00:00-04:00,104.12681511929307,105.85698130878141,103.62860482628484,105.11418914794922,854200,0.0,0.0
2020-07-06 00:00:00-04:00,106.06532860969314,107.78643453252295,106.06532860969314,107.22481536865234,1444600,0.0,0.0
2020-07-07 00:00:00-04:00,106.62411679587713,107.61617736202791,105.77767667750156,106.76973724365234,955900,0.56,0.0
2020-07-08 00:00:00-04:00,106.64233067861716,107.39775724782787,105.82319385320176,107.32494354248047,958000,0.0,0.0
2020-07-09 00:00:00-04:00,107.39774263434138,107.71629387201995,104.85842229302459,105.44091796875,1460000,0.0,0.0
2020-07-10 00:00:00-04:00,105.59565310102616,106.84256172851555,105.49554293901315,106.32377624511719,851400,0.0,0.0
2020-07-13 00:00:00-04:00,108.30788225194317,112.22153119490773,107.85280711643081,108.435302734375,2323600,0.0,0.0
2020-07-14 00:00:00-04:00,110.23739665524205,111.72093900743262,108.12584843200199,111.68453216552734,2193500,0.0,0.0
2020-07-15 00:00:00-04:00,112.64020729883522,113.04066872401245,109.00870246596709,111.25677490234375,1748500,0.0,0.0
2020-07-16 00:00:00-04:00,111.02923419836182,114.06003639244032,110.24650437747857,112.56739044189453,1576700,0.0,0.0
2020-07-17 00:00:00-04:00,112.81313399575711,115.47987482007056,112.68571350126264,113.86891174316406,1913500,0.0,0.0
2020-07-20 00:00:00-04:00,115.48898157384927,116.13518751268232,113.9781355484965,115.49808502197266,1275200,0.0,0.0
2020-07-21 00:00:00-04:00,115.78932731346423,117.46400060523686,115.17042480478825,117.05443572998047,1116300,0.0,0.0
2020-07-22 00:00:00-04:00,117.0544600714474,118.15574832199071,116.5993848070203,118.10112762451172,1259600,0.0,0.0
2020-07-23 00:00:00-04:00,115.55268197219964,119.96690956582844,114.1055463192843,116.13517761230469,1924400,0.0,0.0
2020-07-24 00:00:00-04:00,115.5435909175912,115.5435909175912,112.85865000550277,113.75969696044922,1195500,0.0,0.0
2020-07-27 00:00:00-04:00,113.6231738398109,114.90648925085115,112.56740297514415,112.89505767822266,1404900,0.0,0.0
2020-07-28 00:00:00-04:00,113.04067394591004,114.54242345541171,112.13052356971464,112.3671646118164,1104500,0.0,0.0
2020-07-29 00:00:00-04:00,113.53214334598475,115.55267806727268,113.09527510261714,114.8609619140625,1883200,0.0,0.0
2020-07-30 00:00:00-04:00,113.84160602778482,115.59819645918003,113.23180696740879,115.37065887451172,894300,0.0,0.0
2020-07-31 00:00:00-04:00,115.44346388361912,115.91674594117495,113.7687906187807,115.65280151367188,1132800,0.0,0.0
